SOURCE	TARGET	count
BEST4 enterocyte prog	uniform progenitor	51
BEST4 enterocyte prog	mesoderm 2	60
BEST4 enterocyte prog	early enterocyte 1	30
BEST4 enterocyte prog	mesoderm 1	57
BEST4 enterocyte prog	Neural crest cells	28
BEST4 enterocyte prog	cycling cells 2	40
BEST4 enterocyte prog	LGR5 stem	40
BEST4 enterocyte prog	Goblet prog	47
BEST4 enterocyte prog	early enterocyte 2	45
BEST4 enterocyte prog	enteroendocrine	46
BEST4 enterocyte prog	FOXL1 FLC	96
BEST4 enterocyte prog	Erythroblasts	11
BEST4 enterocyte prog	BEST4 enterocyte prog	37
BEST4 enterocyte prog	enterocyte	66
BEST4 enterocyte prog	pericyte	75
BEST4 enterocyte prog	Venous EC	104
BEST4 enterocyte prog	ICC	69
BEST4 enterocyte prog	myofibroblast	71
BEST4 enterocyte prog	immune cells	72
BEST4 enterocyte prog	Arterial EC	105
BEST4 enterocyte prog	WNT4 FLC	95
BEST4 enterocyte prog	UPK3B Serosa	60
BEST4 enterocyte prog	Lymphatic EC	89
enterocyte	SMC	56
enterocyte	NTS+ cells	43
enterocyte	Enteric neurons	48
enterocyte	cycling cells 1	52
enterocyte	uniform progenitor	47
enterocyte	mesoderm 2	59
enterocyte	early enterocyte 1	33
enterocyte	mesoderm 1	56
enterocyte	Neural crest cells	34
enterocyte	cycling cells 2	46
enterocyte	LGR5 stem	48
enterocyte	Goblet prog	47
enterocyte	early enterocyte 2	47
enterocyte	enteroendocrine	46
enterocyte	FOXL1 FLC	83
enterocyte	Erythroblasts	9
enterocyte	BEST4 enterocyte prog	66
enterocyte	enterocyte	28
enterocyte	pericyte	70
enterocyte	Venous EC	72
enterocyte	ICC	56
enterocyte	myofibroblast	71
enterocyte	immune cells	49
enterocyte	Arterial EC	83
enterocyte	WNT4 FLC	89
enterocyte	UPK3B Serosa	55
enterocyte	Lymphatic EC	60
pericyte	SMC	99
pericyte	NTS+ cells	63
pericyte	Enteric neurons	81
pericyte	cycling cells 1	107
pericyte	uniform progenitor	94
pericyte	mesoderm 2	92
pericyte	early enterocyte 1	43
pericyte	mesoderm 1	94
pericyte	Neural crest cells	77
pericyte	cycling cells 2	69
pericyte	LGR5 stem	105
pericyte	Goblet prog	97
pericyte	early enterocyte 2	63
pericyte	enteroendocrine	92
pericyte	FOXL1 FLC	142
pericyte	Erythroblasts	18
pericyte	BEST4 enterocyte prog	75
pericyte	enterocyte	70
pericyte	pericyte	69
pericyte	Venous EC	157
pericyte	ICC	83
pericyte	myofibroblast	135
pericyte	immune cells	56
pericyte	Arterial EC	140
pericyte	WNT4 FLC	154
pericyte	UPK3B Serosa	64
pericyte	Lymphatic EC	99
Venous EC	SMC	117
Venous EC	NTS+ cells	75
Venous EC	Enteric neurons	71
Venous EC	cycling cells 1	111
Venous EC	uniform progenitor	104
Venous EC	mesoderm 2	114
Venous EC	early enterocyte 1	62
Venous EC	mesoderm 1	109
Venous EC	Neural crest cells	67
Venous EC	cycling cells 2	86
Venous EC	LGR5 stem	102
Venous EC	Goblet prog	101
Venous EC	early enterocyte 2	73
Venous EC	enteroendocrine	94
Venous EC	FOXL1 FLC	168
Venous EC	Erythroblasts	22
Venous EC	BEST4 enterocyte prog	104
Venous EC	enterocyte	72
Venous EC	pericyte	157
Venous EC	Venous EC	63
Venous EC	ICC	105
Venous EC	myofibroblast	145
Venous EC	immune cells	54
Venous EC	Arterial EC	122
Venous EC	WNT4 FLC	158
Venous EC	UPK3B Serosa	85
Venous EC	Lymphatic EC	84
ICC	SMC	65
ICC	NTS+ cells	45
ICC	Enteric neurons	59
ICC	cycling cells 1	69
ICC	uniform progenitor	62
ICC	mesoderm 2	52
ICC	early enterocyte 1	32
ICC	mesoderm 1	57
ICC	Neural crest cells	51
ICC	cycling cells 2	47
ICC	LGR5 stem	71
ICC	Goblet prog	67
ICC	early enterocyte 2	55
ICC	enteroendocrine	57
ICC	FOXL1 FLC	92
ICC	Erythroblasts	10
ICC	BEST4 enterocyte prog	69
ICC	enterocyte	56
ICC	pericyte	83
ICC	Venous EC	105
ICC	ICC	28
ICC	myofibroblast	75
ICC	immune cells	45
ICC	Arterial EC	103
ICC	WNT4 FLC	98
ICC	UPK3B Serosa	58
ICC	Lymphatic EC	73
myofibroblast	SMC	118
myofibroblast	NTS+ cells	76
myofibroblast	Enteric neurons	78
myofibroblast	cycling cells 1	136
myofibroblast	uniform progenitor	119
myofibroblast	mesoderm 2	102
myofibroblast	early enterocyte 1	56
myofibroblast	mesoderm 1	96
myofibroblast	Neural crest cells	74
myofibroblast	cycling cells 2	91
myofibroblast	LGR5 stem	103
myofibroblast	Goblet prog	113
myofibroblast	early enterocyte 2	73
myofibroblast	enteroendocrine	96
myofibroblast	FOXL1 FLC	159
myofibroblast	Erythroblasts	12
myofibroblast	BEST4 enterocyte prog	71
myofibroblast	enterocyte	71
myofibroblast	pericyte	135
myofibroblast	Venous EC	145
myofibroblast	ICC	75
myofibroblast	myofibroblast	65
myofibroblast	immune cells	50
myofibroblast	Arterial EC	121
myofibroblast	WNT4 FLC	154
myofibroblast	UPK3B Serosa	51
myofibroblast	Lymphatic EC	78
immune cells	SMC	47
immune cells	NTS+ cells	46
immune cells	Enteric neurons	30
immune cells	cycling cells 1	57
immune cells	uniform progenitor	56
immune cells	mesoderm 2	45
immune cells	early enterocyte 1	42
immune cells	mesoderm 1	38
immune cells	Neural crest cells	31
immune cells	cycling cells 2	53
immune cells	LGR5 stem	51
immune cells	Goblet prog	57
immune cells	early enterocyte 2	50
immune cells	enteroendocrine	53
immune cells	FOXL1 FLC	65
immune cells	Erythroblasts	30
immune cells	BEST4 enterocyte prog	72
immune cells	enterocyte	49
immune cells	pericyte	56
immune cells	Venous EC	54
immune cells	ICC	45
immune cells	myofibroblast	50
immune cells	immune cells	37
immune cells	Arterial EC	65
immune cells	WNT4 FLC	57
immune cells	UPK3B Serosa	32
immune cells	Lymphatic EC	45
Arterial EC	SMC	92
Arterial EC	NTS+ cells	69
Arterial EC	Enteric neurons	58
Arterial EC	cycling cells 1	87
Arterial EC	uniform progenitor	83
Arterial EC	mesoderm 2	92
Arterial EC	early enterocyte 1	56
Arterial EC	mesoderm 1	88
Arterial EC	Neural crest cells	60
Arterial EC	cycling cells 2	76
Arterial EC	LGR5 stem	92
Arterial EC	Goblet prog	93
Arterial EC	early enterocyte 2	65
Arterial EC	enteroendocrine	93
Arterial EC	FOXL1 FLC	134
Arterial EC	Erythroblasts	28
Arterial EC	BEST4 enterocyte prog	105
Arterial EC	enterocyte	83
Arterial EC	pericyte	140
Arterial EC	Venous EC	122
Arterial EC	ICC	103
Arterial EC	myofibroblast	121
Arterial EC	immune cells	65
Arterial EC	Arterial EC	67
Arterial EC	WNT4 FLC	142
Arterial EC	UPK3B Serosa	85
Arterial EC	Lymphatic EC	101
WNT4 FLC	SMC	119
WNT4 FLC	NTS+ cells	87
WNT4 FLC	Enteric neurons	95
WNT4 FLC	cycling cells 1	156
WNT4 FLC	uniform progenitor	135
WNT4 FLC	mesoderm 2	106
WNT4 FLC	early enterocyte 1	77
WNT4 FLC	mesoderm 1	109
WNT4 FLC	Neural crest cells	100
WNT4 FLC	cycling cells 2	111
WNT4 FLC	LGR5 stem	135
WNT4 FLC	Goblet prog	139
WNT4 FLC	early enterocyte 2	96
WNT4 FLC	enteroendocrine	128
WNT4 FLC	FOXL1 FLC	178
WNT4 FLC	Erythroblasts	18
WNT4 FLC	BEST4 enterocyte prog	95
WNT4 FLC	enterocyte	89
WNT4 FLC	pericyte	154
WNT4 FLC	Venous EC	158
WNT4 FLC	ICC	98
WNT4 FLC	myofibroblast	154
WNT4 FLC	immune cells	57
WNT4 FLC	Arterial EC	142
WNT4 FLC	WNT4 FLC	93
WNT4 FLC	UPK3B Serosa	68
WNT4 FLC	Lymphatic EC	95
UPK3B Serosa	SMC	46
UPK3B Serosa	NTS+ cells	53
UPK3B Serosa	Enteric neurons	40
UPK3B Serosa	cycling cells 1	69
UPK3B Serosa	uniform progenitor	58
UPK3B Serosa	mesoderm 2	35
